cause,mentions,source,year
heart disease,25,El Periodico,2023
cancer,322,El Periodico,2023
homicides,1233,El Periodico,2023
heart disease,17,Ara,2023
cancer,125,Ara,2023
homicides,366,Ara,2023
heart disease,1,Vilaweb,2023
cancer,43,Vilaweb,2023
homicides,199,Vilaweb,2023
heart disease,147,"Catalunya, Spain - State & Local",2023
cancer,1210,"Catalunya, Spain - State & Local",2023
homicides,3231,"Catalunya, Spain - State & Local",2023
