deaths,cause,year
680981.0,heart disease,2023
613352.0,cancer,2023
181146.0,accidents,2023
162639.0,stroke,2023
145357.0,respiratory,2023
114034.0,alzheimers,2023
95190.0,diabetes,2023
55253.0,kidney,2023
52222.0,liver,2023
49932.0,covid,2023
49316.0,suicide,2023
45185.0,influenza,2023
42374.0,,2023
41710.0,,2023
40174.0,,2023
41552.0,drug overdose,2023
22390.0,homicide,2023
16.0,terrorism,2023
